# 
Adámek, Karel                     ; P8.1
Afrin Badhan, Mahmuda             ; P7.1
Albert, Kinga                     ; P4.1
ALESINA, Fabien                   ; P3.1
Alexov		; O2.1	  		; Thu 11.45 - 12.00
Allen, Alice	; O13.1                 ; Wed 10.00 - 10.15
Allen, Christopher                ; P4.2
Allen, Mark                       ; P2.1
Ansdell		; O1.1                  ; Tue 14.30 - 14.45
Araya, Mauricio                   ; P1.1
Arviset, Christophe               ; P10.1
Asercion, Joseph                  ; P4.3
Atemkeng Teufack, Marcellin       ; P10.2
Baines, Deborah                   ; P5.1
Baumann, Matthieu                 ; P5.2
Becciani, Ugo                     ; P3.2
Berriman, Bruce                   ; P5.3
Blanco-Cuaresma, Sergi            ; P6.1
Boch, Thomas                      ; P10.3
Boisson, Catherine                ; P6.2
Bolton, Adam                      ; P2.2
Bonnarel	; O11.3			; Mon 16.30 - 16.45
Borne			; I4.1		; Tue 11.15 - 11.45
Bosch			; I12.1		; Mon 11.15 - 11.45
Boussejra	; O5.4                  ; Thu 10.00 - 10.15
Brasseur	; O10.1	  		; Tue 09.30 - 09.45
Brown, Matthew                    ; P4.4
Buchschacher	; O10.3			; Tue 10.00 - 10.15
Burnier, Julien                   ; P6.3
Bushouse, Howard                  ; P12.1
Cano, Juan Luis                   ; P4.5
Cardiel, Nicolás                  ; P11.1
Ceballos, M.Teresa                ; P12.2
Chen, Wei                         ; P9.1
Chilingarian, Igor                ; P13.1
Chu, Selina                       ; P1.21
Comrie		; O3.2 			; Mon 09.45 - 10.00
Coulais, Alain                    ; P6.4
Crawford, Steven                  ; P2.3
Cupani, Guido                     ; P4.6
DAI		; O1.4                  ; Tue 16.15 - 16.30
da Silva, Daniel                  ; P7.2
Delgado, Arancha                  ; P5.4
Dempsey, James                    ; P10.4
Dencheva	; O12.3			; Mon 14.00 - 14.15
Deshpande, Shubhankar             ; P4.7
Diaz		; O11.1			; Mon 16.00 - 16.15
Donaldson	; O5.2			; Wed 16.45 - 17.00
Dower, Theresa                    ; P6.5
Dowler, Patrick                   ; P10.5
Dreissigacker, Christoph          ; P1.2
Ebisawa, Ken                      ; P9.2
Eguchi, Satoshi                   ; P8.2
Eisenhamer, Jonathan              ; P13.2
Emonts, Bjorn                     ; P5.5
Fan, Dongwei                      ; P12.3
Feinstein, Carlos                 ; P12.4
Ferguson, Henry                   ; P5.6
Fernique, Pierre                  ; P8.3
Fitzpatrick	; O5.1	  		; Wed 16.30 - 16.45
Gabriel, Carlos                   ; P13.3
Gallegos, Julio                   ; P6.6
Geers, Vincent                    ; P13.4
Giardino, Giovanna                ; P13.5
Gilda		; O1.3			; Tue 16.00 - 16.15
Gonzalez-Nuñez	; O10.6                 ; Wed 09.30 - 09.45
Good            ; F4                    ; Tue 15.30 - 16.00
Gordon, Craig                     ; P5.7
Goz, David                        ; P12.5
Gracia Abril, Gonzalo             ; P2.4
Grange, Yan                       ; P5.8
Graves		; O10.7                 ; Wed 09.45 - 10.00
Grishin, Kirill                   ; P3.3
Guedes dos Santos, Luiz Fernando  ; P1.20
Guerra Noguero, Rocio	; I6.1		; Thu 09.00 - 09.30
Gupta, Pramod                     ; P4.8
Gwyn, Stephen                     ; P13.6
Hague, Peter                      ; P3.4
Han, Jun                          ; P6.7
He, Helen                         ; P12.6
Holman			; I7.1		; Wed 14.00 - 14.30
Irby, Bryan                       ; P5.9
Ireland, Jack                     ; P7.3
Iwasaki, Hiroyoshi                ; P1.3
Jenness, Tim                      ; P13.7
Johnston, Kyle                    ; P1.4
Joliet          ; F3                    ; Tue 10.45 - 11.15
Joncour, Isabelle                 ; P1.5
Juric 		; O8.2                  ; Wed 12.05 - 12.20
Kaleida, Catherine                ; P4.9
Kaplan, Kyle                      ; P12.7
Karim, Ramsey                     ; P12.8
Kaufman, Zeke                     ; P4.10
Kawasaki, Wataru                  ; P3.5
Kelley, Michael                   ; P7.4
Kent			; I3.2		; Mon 09.00 - 09.30
Kepley		; O12.1	  		; Mon 11.45 - 12.00
Kitaeff, Vyacheslav               ; P4.11
Kong, Xiao                        ; P1.6
Kosack, Karl                      ; P4.12
Kosugi, George                    ; P12.9
Kuulkers		; I9.1		; Tue 16.30 - 17.00
Kyprianou, Mark                   ; P2.5
Labrie, Kathleen                  ; P11.2
Lacy, Mark                        ; P2.6
Lammers, Jason                    ; P5.10
Lam		; O12.4			; Mon 14.15 - 14.30
Landais		; O11.2			; Mon 16.15 - 16.30
LANDONI, MARCO                    ; P6.8
Laurino, Omar                     ; P10.6
Lemson, Gerard                    ; P10.7
Li, Changhua                      ; P1.7
Lieu			; I1.1		; Tue 14.00 - 14.30
Lim, Pey Lian                     ; P11.3
Lin, Ganghua                      ; P11.4
Loose  		; O6.1	  		; Thu 09.30 - 09.45
Louys, Mireille                   ; P11.5
Lundquist, Michael                ; P9.3
Lutz, Katharina                   ; P13.8
Lu, Yuxi                          ; P12.10
